TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EKTR4;38,51;11,01;7,32;2,22;0,68;26,84;21,56;11,25;3,82;6,28;2,47;1,43;0,82;12,95;-0,95;1,23;30,29;9,32;17,36;0,31;0,69;0,83;7,62;20,59;16.850,15;16,27;4,93;2,84;6.799.721.859,44
ELET3;35,84;0,65;46,36;0,71;0,30;49,56;33,47;4,94;6,84;10,58;3,22;0,33;2,29;5,68;-0,36;1,47;1,53;0,65;6,84;0,42;0,58;0,13;2,97;;385.560.839,03;48,29;0,74;-0,66;79.915.924.182,94
ELET5;86,01;2,39;116,50;1,78;0,75;49,56;33,47;4,94;17,19;10,58;3,22;0,33;5,75;14,27;-0,90;1,47;1,53;0,65;6,84;0,42;0,58;0,13;2,97;;10.700,75;48,29;0,74;-1,67;79.915.924.182,94
ELET6;38,85;3,97;50,93;0,78;0,33;49,56;33,47;4,94;7,51;10,58;3,22;0,33;2,52;6,24;-0,39;1,47;1,53;0,65;6,84;0,42;0,58;0,13;2,97;;98.252.291,97;48,29;0,74;-0,73;79.915.924.182,94
ELPL3;8,31;;1,00;0,58;0,05;24,50;19,37;8,58;0,44;2,06;1,62;2,12;0,09;-3,33;-0,07;0,94;58,18;5,44;28,71;0,09;0,91;0,63;7,49;;;14,25;8,29;0,04;1.640.949.623,22
EMAE3;25,35;7,12;13,51;0,84;0,46;10,30;-3,01;12,30;-55,22;-73,02;27,64;-0,42;1,66;1,18;-0,85;7,22;6,20;3,43;-2,42;0,55;0,45;0,28;20,52;-10,26;;30,26;1,88;-0,33;1.809.595.853,90
EMAE4;65,84;3,07;34,42;2,14;1,18;10,30;-3,01;12,30;-140,73;-73,02;27,64;-0,42;4,24;3,00;-2,17;7,22;6,20;3,43;-2,42;0,55;0,45;0,28;20,52;-10,26;188.167,45;30,26;1,88;-0,83;1.809.595.853,90
ENBR3;24,08;5,90;14,20;1,25;0,38;30,13;19,68;5,63;4,07;7,01;2,95;0,91;0,80;-14,67;-0,50;0,91;8,82;2,65;10,44;0,30;0,67;0,47;6,98;10,00;27.666.157,79;19,22;1,70;-0,26;13.994.459.653,44
ENEV3;12,05;;28,80;1,46;0,44;34,71;23,97;7,29;8,76;16,76;7,68;1,28;2,10;29,43;-0,50;1,14;5,06;1,53;5,69;0,30;0,64;0,21;17,63;47,04;68.499.741,07;8,18;0,41;-0,65;18.903.948.469,54
ENGI11;47,40;3,31;11,56;1,56;0,28;27,29;21,49;5,95;3,20;7,23;3,91;1,90;0,69;5,63;-0,39;1,23;13,50;2,45;11,24;0,18;0,77;0,41;14,21;23,39;103.367.725,59;29,03;3,92;-0,29;18.465.967.706,24
ENGI3;15,35;2,03;18,89;2,55;0,46;27,29;21,49;5,95;5,23;7,23;3,91;1,90;1,12;9,20;-0,63;1,23;13,50;2,45;11,24;0,18;0,77;0,41;14,21;23,39;92.526,38;5,81;0,78;-0,48;18.465.967.706,24
ENGI4;8,07;3,93;9,75;1,32;0,24;27,29;21,49;5,95;2,70;7,23;3,91;1,90;0,58;4,75;-0,33;1,23;13,50;2,45;11,24;0,18;0,77;0,41;14,21;23,39;141.198,21;5,81;0,78;-0,25;18.465.967.706,24
ENMA3B;50,49;5,53;10,16;2,19;0,95;30,09;20,68;15,62;7,68;;1,50;0,43;1,59;13,55;-1,36;1,31;21,56;9,35;15,07;0,43;0,57;0,60;7,52;10,75;;23,05;4,97;0,73;
ENMA6B;83,99;3,32;16,90;3,64;1,58;30,09;20,68;15,62;12,77;;1,50;0,43;2,64;22,54;-2,26;1,31;21,56;9,35;15,07;0,43;0,57;0,60;7,52;10,75;;23,05;4,97;1,21;
ENMT3;62,00;5,18;13,47;4,03;1,04;30,32;24,40;13,95;7,70;10,19;2,62;1,37;1,88;30,91;-1,44;1,14;29,93;7,71;17,79;0,26;0,74;0,55;13,11;189,75;183.656,00;14,87;4,45;-0,73;13.278.417.909,52
ENMT4;61,00;5,09;13,70;4,10;1,06;30,32;24,40;13,95;7,83;10,19;2,62;1,37;1,91;31,44;-1,46;1,14;29,93;7,71;17,79;0,26;0,74;0,55;13,11;189,75;24.847,40;14,87;4,45;-0,75;13.278.417.909,52
EQPA3;6,30;7,99;7,73;3,65;1,06;32,48;24,63;19,48;6,11;7,76;1,65;0,98;1,51;8,98;-1,58;1,55;47,23;13,68;23,46;0,29;0,71;0,70;10,57;24,03;20.154,86;1,73;0,82;0,26;13.935.781.614,94
EQPA5;8,41;5,99;10,32;4,87;1,41;32,48;24,63;19,48;8,16;7,76;1,65;0,98;2,01;11,99;-2,11;1,55;47,23;13,68;23,46;0,29;0,71;0,70;10,57;24,03;841,00;1,73;0,82;0,35;13.935.781.614,94
EQPA6;10,48;4,80;12,86;6,07;1,76;32,48;24,63;19,48;10,17;7,76;1,65;0,98;2,50;14,94;-2,63;1,55;47,23;13,68;23,46;0,29;0,71;0,70;10,57;24,03;;1,73;0,82;0,44;13.935.781.614,94
EQPA7;7,00;7,19;8,59;4,06;1,17;32,48;24,63;19,48;6,79;7,76;1,65;0,98;1,67;9,98;-1,76;1,55;47,23;13,68;23,46;0,29;0,71;0,70;10,57;24,03;700,00;1,73;0,82;0,29;13.935.781.614,94
EQTL3;32,19;1,14;21,34;1,89;0,37;29,31;19,04;4,82;5,40;10,82;5,16;1,81;1,03;5,42;-0,49;1,38;8,85;1,72;9,29;0,19;0,77;0,36;24,50;10,54;202.321.764,90;16,23;1,44;-0,43;35.116.344.845,40
GEPA3;25,52;11,72;7,63;1,25;0,71;43,92;38,51;23,81;4,72;5,67;1,07;0,29;1,82;-4,87;-0,82;0,48;16,42;9,30;14,04;0,57;0,43;0,39;-1,18;6,80;11.757,44;21,86;3,59;0,02;2.487.372.674,22
GEPA4;25,95;12,44;7,19;1,18;0,67;43,92;38,51;23,81;4,45;5,67;1,07;0,29;1,71;-4,59;-0,77;0,48;16,42;9,30;14,04;0,57;0,43;0,39;-1,18;6,80;17.348,05;21,86;3,59;0,02;2.487.372.674,22
GPAR3;44,51;;43,69;4,92;4,70;30,64;78,04;694,19;388,60;369,81;-18,80;-0,24;303,27;16,92;-6,59;30,76;11,27;10,75;-2,40;0,95;0,05;0,02;-9,31;-43,77;17.292,00;9,04;1,02;-0,48;3.546.401.104,02
LIGT3;5,69;;-0,40;0,68;0,09;16,14;-14,91;-39,74;-1,06;-5,50;-4,33;2,80;0,16;-0,19;-0,11;0,27;-172,20;-22,51;-19,41;0,13;0,87;0,57;3,21;;14.443.150,76;8,21;-14,14;0,00;2.086.309.814,40
LIPR3;73,00;3,24;37,47;4,04;3,78;;;;41,82;40,93;-0,89;-0,09;;34,50;-4,30;11,06;10,78;10,10;9,33;0,94;0,06;0,00;;-10,18;7.300,00;18,07;1,95;-6,00;858.836.897,00
MEGA3;11,05;;-865,27;1,24;0,36;28,19;26,14;-0,27;9,09;22,40;12,32;1,68;2,38;-4,84;-0,41;0,61;-0,14;-0,04;4,40;0,29;0,71;0,15;;;8.489.336,86;7,96;-0,01;;6.133.895.976,60
NEOE3;18,50;6,38;4,66;0,79;0,23;29,33;21,98;10,69;2,27;6,14;3,78;1,31;0,50;6,09;-0,32;1,16;16,86;5,00;12,64;0,30;0,70;0,47;15,85;63,34;22.660.090,86;23,07;3,89;0,33;22.006.144.106,24
OMGE3;27,57;;33,53;1.335,61;450,12;28,74;29,64;8,49;9,60;9,61;0,01;1,16;2,85;22.264,37;-528,17;1,16;3.983,73;1.342,57;5.711,92;0,34;0,66;158,15;34,84;10,41;;0,02;0,82;-0,52;5.521.562.588,85
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
REDE3;5,90;9,30;9,38;3,22;0,46;28,44;21,67;8,61;3,73;6,77;2,97;2,57;0,81;10,75;-0,63;1,19;34,34;4,93;16,31;0,14;0,79;0,57;10,99;63,59;39.632,59;1,80;0,62;-0,57;12.218.772.335,46
RNEW11;4,05;;0,50;0,38;0,12;28,24;335,58;261,71;0,39;1,64;1,20;1,16;1,32;-1,03;-0,12;0,20;75,53;23,56;43,65;0,31;0,69;0,09;-22,41;;46.097,55;10,28;7,77;0,00;325.160.755,99
RNEW3;1,34;;0,50;0,38;0,12;28,24;335,58;261,71;0,39;1,64;1,20;1,16;1,30;-1,02;-0,12;0,20;75,53;23,56;43,65;0,31;0,69;0,09;-22,41;;247.188,00;3,43;2,59;0,00;325.160.755,99
RNEW4;1,35;;0,50;0,38;0,12;28,24;335,58;261,71;0,39;1,64;1,20;1,16;1,30;-1,02;-0,12;0,20;75,53;23,56;43,65;0,31;0,69;0,09;-22,41;;184.875,28;3,43;2,59;0,00;325.160.755,99
TAEE11;34,83;9,92;10,05;1,76;0,62;70,93;77,68;49,81;6,45;11,07;4,45;1,21;5,01;4,87;-0,77;3,03;17,46;6,21;10,59;0,36;0,64;0,12;19,43;12,49;74.567.595,76;19,42;3,39;-0,23;11.740.522.750,56
TAEE3;11,57;9,96;10,02;1,75;0,62;70,93;77,68;49,81;6,42;11,07;4,45;1,21;4,99;4,86;-0,77;3,03;17,46;6,21;10,59;0,36;0,64;0,12;19,43;12,49;2.506.844,90;6,47;1,13;-0,23;11.740.522.750,56
TAEE4;11,61;9,92;10,05;1,76;0,62;70,93;77,68;49,81;6,45;11,07;4,45;1,21;5,01;4,87;-0,77;3,03;17,46;6,21;10,59;0,36;0,64;0,12;19,43;12,49;4.634.719,14;6,47;1,13;-0,23;11.740.522.750,56
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TRPL3;32,09;3,37;8,77;1,19;0,61;60,07;64,90;43,32;5,85;7,26;2,08;0,42;3,80;8,17;-0,72;1,93;13,53;6,94;11,94;0,51;0,48;0,16;15,07;11,65;51.753,21;26,57;3,60;-0,54;17.831.650.076,64
TRPL4;24,17;4,39;6,73;0,91;0,47;60,07;64,90;43,32;4,49;7,26;2,08;0,42;2,91;6,27;-0,55;1,93;13,53;6,94;11,94;0,51;0,48;0,16;15,07;11,65;45.983.003,72;26,57;3,60;-0,41;17.831.650.076,64
